NdUnfilled_min_value,MendeleevNumber_composition_average,MendeleevNumber_arithmetic_average,MeltingT_difference,NdUnfilled_arithmetic_average,BCCmagmom_min_value,NdUnfilled_composition_average,BCCenergy_pa_max_value,ElasticModulus_difference,NpUnfilled_difference,MendeleevNumber_max_value,BCCvolume_padiff_difference,HeatVaporization_max_value,ICSDVolume_min_value,IonicRadii_arithmetic_average,GSenergy_pa_min_value,BCCenergy_pa_min_value,MiracleRadius_min_value,ThermalExpansionCoefficient_difference,IonicRadii_composition_average
0,65,65,0,0,0,0,-2.71997917,0,0,65,0,250.63,17,1.15,-2.76539356,-2.71997917,144,0,1.15
3,61.5,61.5,533.07,1.5,1.6840372,1.5,-2.71997917,128,0,65,0,373.3,11.1,0.9,-2.76539356,-2.71997917,125,5.9,0.9
5,57,57,945.07,2.5,0,2.5,-2.71997917,179,0,65,0,339.5,12,0.885,-2.76539356,-2.71997917,130,14,0.885
0,64.5,64.5,122.84,0,0,0,-2.71997917,44,0,65,0,300.5,11.8,0.94,-2.76539356,-2.71997917,126,2.4,0.94
4,60,60,576.07,2,2.1106628,2,-2.71997917,131,0,65,0,349.5,11.7,0.85,-2.76539356,-2.71997917,125,7.1,0.85
5,58.5,58.5,284.07,2.5,0.8185729,2.5,-2.71997917,118,0,65,0,250.63,12.2,0.91,-2.76539356,-2.71997917,132,2.8,0.91
2,63,63,493.07,1,0.0645672,1,-2.71997917,128,0,65,0,377.5,10.8,0.92,-2.76539356,-2.71997917,126,5.5,0.92
9,38,38,579.07,4.5,0,4.5,-2.71997917,0,0,65,0,304.8,17,0.95,-2.76539356,-2.71997917,144,8.9,0.95
8,54,54,706.07,4,0,4,-2.71997917,30,0,65,0,425.2,17,0.88,-2.76539356,-2.71997917,142,10.3,0.88
7,55.5,55.5,948.07,3.5,0,3.5,-2.71997917,49,0,65,0,446.7,13.8,0.845,-2.76539356,-2.71997917,134,10.5,0.845
0,67,67,542.25,0,0,0,-2.71997917,15,0,69,0,250.63,15.1,0.945,-2.76539356,-2.71997917,140,11.3,0.945
0,73,73,0,0,0,0,-3.65018713,0,0,73,0,290.8,16.6,0.54,-3.74542312,-3.65018713,141,0,0.54
0,69,69,301.46,0,0,0,-3.65018713,9.5,5,73,0.57,290.8,16.6,0.845,-3.74542312,-3.65018713,141,4.2,0.845
0,78.5,78.5,156.53,0,0,0,-3.65018713,31.5,2,84,3.605,290.8,16.6,0.56,-3.74542312,-3.65018713,115,7.7,0.56
0,69.5,69.5,403.86,0,0,0,-3.65018713,7.8,5,73,0.41,324.43,16.6,0.695,-3.74542312,-3.65018713,141,8.9,0.695
0,79.5,79.5,389.07,0,0,0,-3.65018713,36.5,2,86,3.48,290.8,16.6,0.785,-3.74542312,-3.65018713,141,9.7,0.785
0,40,40,181.53,0,0,0,-3.65018713,49.5,5,73,1.39,290.8,16.6,0.77,-3.74542312,-3.65018713,141,0.8,0.77
0,71.5,71.5,339.25,0,0,0,-3.65018713,8.5,5,73,0.285,290.8,16.6,0.745,-3.74542312,-3.65018713,141,7.7,0.745
9,44,44,137.53,4.5,0,4.5,-3.65018713,40.5,5,73,0.81,313.8,16.6,0.84,-3.74542312,-3.65018713,141,17.9,0.84
3,65.5,65.5,834.53,1.5,1.6840372,1.5,-3.65018713,137.5,5,73,0.245,373.3,11.1,0.595,-3.74542312,-3.65018713,125,10.1,0.595
5,61,61,1246.53,2.5,0,2.5,-3.65018713,188.5,5,73,0.46,339.5,12,0.58,-3.74542312,-3.65018713,130,18.2,0.58
0,68.5,68.5,424.3,0,0,0,-3.65018713,53.5,5,73,0.43,300.5,11.8,0.635,-3.74542312,-3.65018713,126,6.6,0.635
0,54,54,836.53,0,0,0,-3.65018713,2.5,5,73,0.345,292.88,16.6,0.77,-3.74542312,-3.65018713,141,13.7,0.77
4,64,64,877.53,2,2.1106628,2,-3.65018713,140.5,5,73,0.44,349.5,11.7,0.545,-3.74542312,-3.65018713,125,11.3,0.545
0,73.5,73.5,630.56,0,0,0,-3.65018713,59.5,0,74,1.3575,290.8,16.6,0.58,-3.74542312,-3.65018713,134,3.4,0.58
0,76,76,277.93,0,0,0,-3.65018713,44.5,1,79,4.625,334.3,16.6,0.535,-3.74542312,-3.65018713,114,17.4,0.535
8,59,59,1572.53,4,0,4,-3.65018713,68.5,5,73,0.77,661.07,16.6,0.685,-3.74542312,-3.65018713,141,17.2,0.685
0,72,72,699.15,0,0,0,-3.65018713,48.5,5,73,3.347586207,290.8,16.6,0.78,-3.74542312,-3.65018713,141,25.9,0.78
0,74,74,503.72,0,0,0,-3.65018713,56.5,0,75,0.27,290.8,16.6,0.67,-3.74542312,-3.65018713,141,9,0.67
3,66.5,66.5,1805.53,1.5,0.4830855,1.5,-3.65018713,462.5,5,73,0.02,563.58,13.8,0.585,-3.74542312,-3.65018713,136,16.7,0.585
9,43,43,259.53,4.5,0.0008051,4.5,-3.65018713,20.5,5,73,0.1325,399.57,16.6,0.85,-3.74542312,-3.65018713,141,17.9,0.85
0,70.5,70.5,10.47,0,0,0,-3.65018713,26.1,5,73,0.45,290.8,16.6,0.63,-3.74542312,-3.65018713,141,1.7,0.63
5,62.5,62.5,585.53,2.5,0.8185729,2.5,-3.65018713,127.5,5,73,0.417586207,290.8,12.2,0.605,-3.74542312,-3.65018713,132,1.4,0.605
5,61.5,61.5,1962.53,2.5,0,2.5,-3.65018713,251.5,5,73,0.44,590.4,15.5,0.565,-3.74542312,-3.65018713,139,18.3,0.565
0,37.5,37.5,562.6,0,0,0,-3.65018713,65.5,5,73,0.473333333,290.8,16.6,0.78,-3.74542312,-3.65018713,141,47.9,0.78
6,60,60,1816.53,3,0,3,-3.65018713,33.5,5,73,0.44,690.1,16.6,0.59,-3.74542312,-3.65018713,141,15.8,0.59
0,46,46,360.53,0,0,0,-3.65018713,32.5,5,73,0.28,290.8,16.6,0.915,-3.74542312,-3.65018713,141,16.2,0.915
2,67,67,794.53,1,0.0645672,1,-3.65018713,137.5,5,73,0.43,377.5,10.8,0.615,-3.74542312,-3.65018713,126,9.7,0.615
4,65,65,2372.53,2,0,2,-3.65018713,479.5,5,73,0.05,627.6,13.8,0.585,-3.74542312,-3.65018713,135,18,0.585
0,78,78,616.17,0,0,0,-3.65018713,65.5,2,83,8.850238095,290.8,16.6,0.355,-3.74542312,-3.65018713,102,103.9,0.355
0,77,77,332.86,0,0,0,-3.65018713,50.5,1,81,0.63,290.8,16.6,0.865,-3.74542312,-3.65018713,141,5.7,0.865
0,67.5,67.5,894.58,0,0,0,-3.65018713,56.5,5,73,0.38,393.3,14.7,0.59,-3.74542312,-3.65018713,141,11.3,0.59
